,speaker,sentence
0,CHAIR POWELL,Good afternoon.
1,CHAIR POWELL,"Before I go into the details of today’s meeting, I would like to underscore for the American people that we understand the hardship that high inflation is causing and that we are strongly committed to bringing inflation back down to our 2 percent goal."
2,CHAIR POWELL,"Over the course of the year, we have taken forceful actions to tighten the stance of monetary policy."
3,CHAIR POWELL,"We have covered a lot of ground, and the full effects of our rapid tightening so far are yet to be felt."
4,CHAIR POWELL,"Even so, we have more work to do."
5,CHAIR POWELL,Price stability is the responsibility of the Federal Reserve and serves as the bedrock of our economy.
6,CHAIR POWELL,"Without price stability, the economy doesn’t work for anyone."
7,CHAIR POWELL,"In particular, without price stability, we will not achieve a sustained period of strong labor market conditions that benefit all."
8,CHAIR POWELL,"Today, the FOMC raised our policy interest rate by ½ percentage point."
9,CHAIR POWELL,We continue to anticipate that ongoing increases will be appropriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time.
10,CHAIR POWELL,"In addition, we are continuing the process of significantly reducing the size of our balance sheet."
11,CHAIR POWELL,Restoring price stability will likely require maintaining a restrictive policy stance for some time.
12,CHAIR POWELL,I will have more to say about today’s monetary policy actions after briefly reviewing economic developments.
13,CHAIR POWELL,The U.S. economy has slowed significantly from last year’s rapid pace.
14,CHAIR POWELL,"Although real GDP rose at a pace of 2.9 percent last quarter, it is roughly unchanged through the first three quarters of this year."
15,CHAIR POWELL,Recent indicators point to modest growth of spending and production this quarter.
16,CHAIR POWELL,"Growth in consumer spending has slowed from last year’s rapid pace, in part reflecting lower real disposable income and tighter financial conditions."
17,CHAIR POWELL,"Activity in the housing sector has weakened significantly, largely reflecting higher mortgage rates."
18,CHAIR POWELL,"Higher interest rates and December 14, 2022 slower output growth also appear to be weighing on business fixed investment."
19,CHAIR POWELL,"As shown in our Chair Powell’s Press Conference FINAL Summary of Economic Projections, the median projection for real GDP growth stands at just 0.5 percent this year and next, well below the median estimate of the longer-run normal growth rate."
20,CHAIR POWELL,"Despite the slowdown in growth, the labor market remains extremely tight, with the unemployment rate near a 50-year low, job vacancies still very high, and wage growth elevated."
21,CHAIR POWELL,"Job gains have been robust, with employment rising by an average of 272,000 jobs per month over the last three months."
22,CHAIR POWELL,"Although job vacancies have moved below their highs and the pace of job gains has slowed from earlier in the year, the labor market continues to be out of balance, with demand substantially exceeding the supply of available workers."
23,CHAIR POWELL,The labor force participation rate is little changed since the beginning of the year.
24,CHAIR POWELL,"FOMC participants expect supply and demand conditions in the labor market to come into better balance over time, easing upward pressures on wages and prices."
25,CHAIR POWELL,The median projection in the SEP for the unemployment rate rises to 4.6 percent at the end of next year.
26,CHAIR POWELL,Inflation remains well above our longer-run goal of 2 percent.
27,CHAIR POWELL,"Over the 12 months ending in October, total PCE prices rose 6 percent; excluding the volatile food and energy categories, core PCE prices rose 5 percent."
28,CHAIR POWELL,"In November, the 12-month change in the CPI was 7.1 percent, and the change in the core CPI was 6 percent."
29,CHAIR POWELL,The inflation data received so far for October and November show a welcome reduction in the monthly pace of price increases.
30,CHAIR POWELL,But it will take substantially more evidence to give confidence that inflation is on a sustained downward path.
