,speaker,sentence
0,CHAIR POWELL,"Good afternoon, and welcome."
1,CHAIR POWELL,"My colleagues and I understand the hardship that high inflation is causing, and we are strongly committed to bringing inflation back down to our 2 percent goal."
2,CHAIR POWELL,"Over the past year, we have taken forceful actions to tighten the stance of monetary policy."
3,CHAIR POWELL,"We have covered a lot of ground, and the full effects of our rapid tightening so far are yet to be felt."
4,CHAIR POWELL,"Even so, we have more work to do."
5,CHAIR POWELL,Price stability is the responsibility of the Federal Reserve and serves as the bedrock of our economy.
6,CHAIR POWELL,"Without price stability, the economy does not work for anyone."
7,CHAIR POWELL,"In particular, without price stability, we will not achieve a sustained period of labor market conditions that benefit all."
8,CHAIR POWELL,"Today, the FOMC raised our policy interest rate by 25 basis points."
9,CHAIR POWELL,We continue to anticipate that ongoing increases will be appropriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time.
10,CHAIR POWELL,"In addition, we are continuing the process of significantly reducing the size of our balance sheet."
11,CHAIR POWELL,Restoring price stability will likely require maintaining a restrictive stance for some time.
12,CHAIR POWELL,I will have more to say about today’s monetary policy actions after briefly reviewing economic developments.
13,CHAIR POWELL,"The U.S. economy slowed significantly last year, with real GDP rising at a below-trend pace of 1 percent."
14,CHAIR POWELL,Recent indicators point to modest growth of spending and production this quarter.
15,CHAIR POWELL,"Consumer spending appears to be expanding at a subdued pace, in part reflecting tighter financial conditions over the past year."
16,CHAIR POWELL,"Activity in the housing sector continues to weaken, largely reflecting higher mortgage rates."
17,CHAIR POWELL,Higher interest rates and slower output growth also appear to be weighing on business fixed investment.
18,CHAIR POWELL,"Despite the slowdown in growth, the labor market remains extremely tight, with the unemployment rate at a 50-year low, job vacancies still very high, and wage growth elevated."
19,CHAIR POWELL,"Job gains have been robust, with employment rising by an average of 247,000 jobs per month over the last three months."
20,CHAIR POWELL,"Although the pace of job gains has slowed over the course of the past year and nominal wage growth has shown some signs of easing, the labor market continues to be out of balance."
21,CHAIR POWELL,"Labor demand substantially exceeds the supply of available workers, and the labor force participation rate has changed little from a year ago."
22,CHAIR POWELL,Inflation remains well above our longer-run goal of 2 percent.
23,CHAIR POWELL,"Over the 12 months ending in December, total PCE prices rose 5.0 percent; excluding the volatile food and energy categories, core PCE prices rose 4.4 percent."
24,CHAIR POWELL,The inflation data received over the past three months show a welcome reduction in the monthly pace of increases.
25,CHAIR POWELL,"And, while recent developments are encouraging, we will need substantially more evidence to be confident that inflation is on a sustained downward path."
26,CHAIR POWELL,"Despite elevated inflation, longer-term inflation expectations appear to remain well anchored, as reflected in a broad range of surveys of households, businesses, and forecasters, as well as measures from financial markets."
27,CHAIR POWELL,But that’s not grounds for complacency.
28,CHAIR POWELL,"Although inflation has moderated recently, it remains too high."
29,CHAIR POWELL,"The longer the current bout of high inflation continues, the greater the chance that expectations of higher inflation will become entrenched."
30,CHAIR POWELL,The Fed’s monetary policy actions are guided by our mandate to promote maximum employment and stable prices for the American people.
31,CHAIR POWELL,"My colleagues and I are acutely aware that high inflation imposes significant hardship, as it erodes purchasing power, especially for those least able to meet the higher costs of essentials like food, housing, and transportation."
32,CHAIR POWELL,"We are highly attentive to the risks that inflation poses to both sides of our mandate, and we are strongly committed to returning inflation to our 2 percent objective."
33,CHAIR POWELL,"At today’s meeting, the Committee raised the target range for the federal funds rate by 25 basis points, bringing the target range to 4½ to 4¾ percent."
