,speaker,sentence
0,CHAIR POWELL,Good afternoon.
1,CHAIR POWELL,It’s nice to see everyone in person for the first time in a couple years.
2,CHAIR POWELL,"Before I go into the details of today’s meeting, I’d like to take this opportunity to speak directly to the American people."
3,CHAIR POWELL,"Inflation is much too high, and we understand the hardship it is causing, and we’re moving expeditiously to bring it back down."
4,CHAIR POWELL,We have both the tools we need and the resolve that it will take to restore price stability on behalf of American families and businesses.
5,CHAIR POWELL,The economy and the country have been through a lot over the past two years and have proved resilient.
6,CHAIR POWELL,It is essential that we bring inflation down if we are to have a sustained period of strong labor market conditions that benefit all.
7,CHAIR POWELL,"From the standpoint of our Congressional mandate to promote maximum employment and price stability, the current picture is plain to see: The labor market is extremely tight, and inflation is much too high."
8,CHAIR POWELL,"Against this backdrop, today the FOMC raised its policy interest rate by ½ percentage point and anticipates that ongoing increases in the target rate for the federal funds rate will be appropriate."
9,CHAIR POWELL,"In addition, we are beginning the process of significantly reducing the size of our balance sheet."
10,CHAIR POWELL,I’ll have more to say about today’s monetary policy actions after briefly reviewing economic developments.
11,CHAIR POWELL,"After expanding at a robust 5½ percent pace last year, overall economic activity edged down in the first quarter."
12,CHAIR POWELL,"Underlying momentum remains strong, however, as the decline largely reflected swings in inventories and net exports—two volatile categories whose movements last quarter likely carry little signal for future growth."
13,CHAIR POWELL,"Indeed, household spending and business fixed investment continued to expand briskly."
14,CHAIR POWELL,The labor market has continued to strengthen and is extremely tight.
15,CHAIR POWELL,"Over the first three months of the year, employment rose by nearly 1.7 million jobs."
16,CHAIR POWELL,"In March, the unemployment rate hit a post-pandemic, and near-five-decade, low of 3.6 percent."
17,CHAIR POWELL,"Improvements in labor market conditions have been widespread, including for workers at the lower end of the wage distribution as well as for African Americans and Hispanics."
18,CHAIR POWELL,"Labor demand is very strong, and, while labor force participation has increased somewhat, labor supply remains subdued."
19,CHAIR POWELL,"Employers are having difficulties filling job openings, and wages are rising at the fastest pace in many years."
20,CHAIR POWELL,Inflation remains well above our longer-run goal of 2 percent.
21,CHAIR POWELL,"Over the 12 months ending in March, total PCE prices rose 6.6 percent; excluding the volatile food and energy categories, core PCE prices rose 5.2 percent."
22,CHAIR POWELL,"Aggregate demand is strong, and bottlenecks and supply constraints are limiting how quickly production can respond."
23,CHAIR POWELL,"Disruptions to supply have been larger, and longer lasting, than anticipated, and price pressures have spread to a broader range of goods and services."
24,CHAIR POWELL,The surge in prices of crude oil and other commodities that resulted from Russia’s invasion of Ukraine is creating additional upward pressure on inflation.
25,CHAIR POWELL,And COVID-related lockdowns in China are likely to further exacerbate supply chain disruptions as well.
26,CHAIR POWELL,"Russia’s invasion of Ukraine is causing tremendous loss and hardship, and our thoughts and sympathies are with the people of Ukraine."
27,CHAIR POWELL,"Our job is to consider the implications for the U.S. economy, which remain highly uncertain."
28,CHAIR POWELL,"In addition to the effects on inflation, the invasion and related events are likely to restrain economic activity abroad and further disrupt supply chains, creating spillovers to the U.S. economy through trade and other channels."
29,CHAIR POWELL,The Fed’s monetary policy actions are guided by our mandate to promote maximum employment and stable prices for the American people.
30,CHAIR POWELL,"My colleagues and I are acutely aware that high inflation imposes significant hardship, especially on those least able to meet the higher costs of essentials like food, housing, and transportation."
31,CHAIR POWELL,"We are highly attentive to the risks that high inflation poses to both sides of our mandate, and we are strongly committed to restoring price stability."
32,CHAIR POWELL,"Against the backdrop of the rapidly evolving economic environment, our policy has been adapting, and it will continue to do so."
33,CHAIR POWELL,"At today’s meeting, the Committee raised the target range for the federal funds rate by ½ percentage point and stated that it “anticipates that ongoing increases in the target range will be appropriate.” We also decided to begin the process of reducing the size of our balance sheet, which will play an important role in firming the stance of monetary policy."
34,CHAIR POWELL,We are on a path to move our policy rate expeditiously to more normal levels.
35,CHAIR POWELL,"Assuming that economic and financial conditions evolve in line with expectations, there is a broad sense on the Committee that additional 50-basis-point increases should be on the table at the next couple of meetings."
36,CHAIR POWELL,We will make our decisions meeting by meeting as we learn from incoming data and the evolving outlook for the economy.
37,CHAIR POWELL,And we will continue to communicate our thinking as clearly as possible.
38,CHAIR POWELL,Our overarching focus is using our tools to bring inflation back down to our 2 percent goal.
39,CHAIR POWELL,"With regard to our balance sheet, we also issued our specific plans for reducing our securities holdings."
40,CHAIR POWELL,"Consistent with the principles we issued in January, we intend to significantly reduce the size of our balance sheet over time in a predictable manner by allowing the principal payments from our securities holdings to roll off the balance sheet, up to monthly cap amounts."
41,CHAIR POWELL,"For Treasury securities, the cap will be $30 billion per month for three months and May 4, 2022 will then increase to $60 billion per month."
42,CHAIR POWELL,"The decline in holdings of Treasury securities under Chair Powell’s Press Conference FINAL this monthly cap will include Treasury coupon securities and, to the extent that coupon securities are less than the monthly cap, Treasury bills."
43,CHAIR POWELL,"For agency mortgage-backed securities, the cap will be $17.5 billion per month for three months and will then increase to $35 billion per month."
44,CHAIR POWELL,"At the current level of mortgage rates, the actual pace of agency MBS runoff would likely be less than this monthly cap amount."
45,CHAIR POWELL,Our balance sheet decisions are guided by our maximum-employment and price-stability goals.
46,CHAIR POWELL,"And, in that regard, we will be prepared to adjust any of the details of our approach in light of economic and financial developments."
47,CHAIR POWELL,Making appropriate monetary policy in this uncertain environment requires a recognition that the economy often evolves in unexpected ways.
48,CHAIR POWELL,"Inflation has obviously surprised to the upside over the past year, and further surprises could be in store."
49,CHAIR POWELL,We therefore will need to be nimble in responding to incoming data and the evolving outlook.
50,CHAIR POWELL,And we will strive to avoid adding uncertainty to what is already an extraordinarily challenging and uncertain time.
51,CHAIR POWELL,We are highly attentive to inflation risks.
52,CHAIR POWELL,The Committee is determined to take the measures necessary to restore price stability.
53,CHAIR POWELL,The American economy is very strong and well positioned to handle tighter monetary policy.
54,CHAIR POWELL,"To conclude: We understand that our actions affect communities, families, and businesses across the country."
55,CHAIR POWELL,Everything we do is in service to our public mission.
56,CHAIR POWELL,We at the Fed will do everything we can to achieve our maximum-employment and price-stability goals.
57,CHAIR POWELL,"Thank you, and I look forward to your questions."
64,CHAIR POWELL,Thank you.
65,CHAIR POWELL,So you’re right—3.6 percent unemployment is just about as low as it’s been in 50 years.
66,CHAIR POWELL,"And I would say that I expect, and Committee members generally expect, that we’ll get some additional participation."
67,CHAIR POWELL,So people will be coming back into the labor force.
68,CHAIR POWELL,We’ve seen that particularly among prime-age people.
69,CHAIR POWELL,"And that will, of course, tend to hold the unemployment rate up a little bit."
70,CHAIR POWELL,"I would also expect, though, that job creation will slow."
71,CHAIR POWELL,"Job creation has been, you know, more than half a million per month in recent months—very, very strong, particularly for this stage of the economy."
72,CHAIR POWELL,"And so we think—with fiscal policy less supportive, with monetary policy less supportive, we think that job creation will slow as well."
73,CHAIR POWELL,So it is certainly possible that the unemployment would go down further.
74,CHAIR POWELL,But so I would expect those to be relatively limited because of the additional supply and also just the slowing in job creation.
75,CHAIR POWELL,"Implications for inflation—really, the wages matter a fair amount for companies, particularly in the service sector."
76,CHAIR POWELL,"Wages are running high, the highest they’ve run in quite some time."
77,CHAIR POWELL,"And they are one good example, or good illustration, really, of how tight the labor market really is, the fact that wages are running at the highest level in many decades."
78,CHAIR POWELL,And that’s because of an imbalance between supply and demand in the labor market.
79,CHAIR POWELL,"So we think through our policies—through further healing in the labor market, higher rates, for example, of vacancy filling and things like that, and more people coming back in—we’d like to think that supply and demand will come back into balance and that, therefore, wage inflation will moderate to still May 4, 2022 high levels of wage increases, but ones that are more consistent with 2 percent inflation."
