,speaker,sentence
0,CHAIR POWELL,Good afternoon.
1,CHAIR POWELL,My colleagues and I are strongly committed to bringing inflation back down to our 2 percent goal.
2,CHAIR POWELL,We have both the tools that we need and the resolve it will take to restore price stability on behalf of American families and businesses.
3,CHAIR POWELL,Price stability is the responsibility of the Federal Reserve and serves as the bedrock of our economy.
4,CHAIR POWELL,"Without price stability, the economy does not work for anyone."
5,CHAIR POWELL,"In particular, without price stability, we will not achieve a sustained period of strong labor market conditions that benefit all."
6,CHAIR POWELL,"Today, the FOMC raised our policy interest rate by 75 basis points."
7,CHAIR POWELL,And we continue to anticipate that ongoing increases will be appropriate.
8,CHAIR POWELL,We are moving our policy stance purposefully to a level that will be sufficiently restrictive to return inflation to 2 percent.
9,CHAIR POWELL,"In addition, we are continuing the process of significantly reducing the size of our balance sheet."
10,CHAIR POWELL,Restoring price stability will likely require maintaining a restrictive stance of policy for some time.
11,CHAIR POWELL,I will have more to say about today’s monetary policy actions after briefly reviewing economic developments.
12,CHAIR POWELL,The U.S. economy has slowed significantly from last year’s rapid pace.
13,CHAIR POWELL,Real GDP rose at a pace of 2.6 percent last quarter but is unchanged so far this year.
14,CHAIR POWELL,Recent indicators point to modest growth of spending and production this quarter.
15,CHAIR POWELL,"Growth in consumer spending has slowed from last year’s rapid pace, in part reflecting lower real disposable income and tighter financial conditions."
16,CHAIR POWELL,"Activity in the housing sector has weakened significantly, largely reflecting higher mortgage rates."
17,CHAIR POWELL,Higher interest rates and slower output growth also appear to be weighing on business fixed investment.
18,CHAIR POWELL,"Despite the slowdown in growth, the labor market remains extremely tight, with the unemployment rate at a 50-year low, job vacancies still very high, and wage growth elevated."
19,CHAIR POWELL,"November 2, 2022 Job gains have been robust, with employment rising by an average of 289,000 jobs per month Chair Powell’s Press Conference FINAL over August and September."
20,CHAIR POWELL,"Although job vacancies have moved below their highs and the pace of job gains has slowed from earlier in the year, the labor market continues to be out of balance, with demand substantially exceeding the supply of available workers."
21,CHAIR POWELL,The labor force participation rate is little changed since the beginning of the year.
22,CHAIR POWELL,Inflation remains well above our longer-run goal of 2 percent.
23,CHAIR POWELL,"Over the 12 months ending in September, total PCE prices rose 6.2 percent; excluding the volatile food and energy categories, core PCE prices rose 5.1 percent."
24,CHAIR POWELL,And the recent inflation data again have come in higher than expected.
25,CHAIR POWELL,Price pressures remain evident across a broad range of goods and services.
26,CHAIR POWELL,Russia’s war against Ukraine has boosted prices for energy and food and has created additional upward pressure on inflation.
27,CHAIR POWELL,"Despite elevated inflation, longer-term inflation expectations appear to remain well anchored, as reflected in a broad range of surveys of households, businesses, and forecasters, as well as measures from financial markets."
28,CHAIR POWELL,"But that is not grounds for complacency; the longer the current bout of high inflation continues, the greater the chance that expectations of higher inflation will become entrenched."
29,CHAIR POWELL,The Fed’s monetary policy actions are guided by our mandate to promote maximum employment and stable prices for the American people.
30,CHAIR POWELL,"My colleagues and I are acutely aware that high inflation imposes significant hardship as it erodes purchasing power, especially for those least able to meet the higher costs of essentials like food, housing, and transportation."
31,CHAIR POWELL,"We are highly attentive to the risks that high inflation poses to both sides of our mandate, and we are strongly committed to returning inflation to our 2 percent objective."
32,CHAIR POWELL,"At today’s meeting, the Committee raised the target range for the federal funds rate by 75 basis points."
33,CHAIR POWELL,"And we are continuing the process of significantly reducing the size of our balance sheet, which plays an important role in firming the stance of monetary policy."
34,CHAIR POWELL,"With today’s action, we have raised interest rates by 3¾ percentage points this year."
35,CHAIR POWELL,We anticipate that ongoing increases in the target range for the federal funds rate will be appropriate in order to attain a stance of monetary policy that is sufficiently restrictive to return inflation to 2 percent over time.
36,CHAIR POWELL,"Financial conditions have tightened significantly in response to our policy actions, and we are seeing the effects on demand in the most interest-rate-sensitive sectors of the economy, such as housing."
37,CHAIR POWELL,"It will take time, however, for the full effects of monetary restraint to be realized, especially on inflation."
38,CHAIR POWELL,"That’s why we say in our statement that in determining the pace of future increases in the target range, we will take into account the cumulative tightening of monetary policy and the lags with which monetary policy affects economic activity and inflation."
39,CHAIR POWELL,At some point—as I’ve said in the last two press conferences—it will become appropriate to slow the pace of increases as we approach the level of interest rates that will be sufficiently restrictive to bring inflation down to our 2 percent goal.
40,CHAIR POWELL,There is significant uncertainty around that level of interest rates.
41,CHAIR POWELL,"Even so, we still have some ways to go, and incoming data since our last meeting suggest that the ultimate level of interest rates will be higher than previously expected."
42,CHAIR POWELL,Our decisions will depend on the totality of incoming data and their implications for the outlook for economic activity and inflation.
43,CHAIR POWELL,We will continue to make our decisions meeting by meeting and communicate our thinking as clearly as possible.
44,CHAIR POWELL,We are taking forceful steps to moderate demand so that it comes into better alignment with supply.
45,CHAIR POWELL,Our overarching focus is using our tools to bring inflation back down to our 2 percent goal and to keep longer-term inflation expectations well anchored.
46,CHAIR POWELL,"Reducing inflation November 2, 2022 is likely to require a sustained period of below-trend growth and some softening of labor market Chair Powell’s Press Conference FINAL conditions."
47,CHAIR POWELL,Restoring price stability is essential to set the stage for achieving maximum employment and stable prices in the longer run.
48,CHAIR POWELL,The historical record cautions strongly against prematurely loosening policy.
49,CHAIR POWELL,We will stay the course until the job is done.
50,CHAIR POWELL,"To conclude: We understand that our actions affect communities, families, and businesses across the country."
51,CHAIR POWELL,Everything we do is in service to our public mission.
52,CHAIR POWELL,We at the Fed will do everything we can to achieve our maximum-employment and price-stability goals.
53,CHAIR POWELL,"Thank you, and I look forward to your questions."
54,MICHELLE SMITH,Colby.
55,COLBY SMITH,Thank you.
56,COLBY SMITH,Colby Smith with the Financial Times.
57,COLBY SMITH,"On the need to slow the pace of rate increases at some point: Is a downshift contingent on a string of better inflation data specifically between now and, let’s say, the December meeting?"
