,speaker,sentence
0,CHAIR POWELL,Good afternoon.
1,CHAIR POWELL,My colleagues and I remain squarely focused on our dual mandate to promote maximum employment and stable prices for the American people.
2,CHAIR POWELL,"We understand the hardship that high inflation is causing, and we remain strongly committed to bringing inflation back down to our 2 percent goal."
3,CHAIR POWELL,Price stability is the responsibility of the Federal Reserve.
4,CHAIR POWELL,"Without price stability, the economy doesn’t work for anyone."
5,CHAIR POWELL,"In particular, without price stability, we will not achieve a sustained period of strong labor market conditions that benefit all."
6,CHAIR POWELL,"Since early last year, the FOMC has significantly tightened the stance of monetary policy."
7,CHAIR POWELL,"Today we took another step by raising our policy interest rate ¼ percentage point, and we are continuing to reduce our securities holdings at a brisk pace."
8,CHAIR POWELL,"We’ve covered a lot of ground, and the full effects of our tightening have yet to be felt."
9,CHAIR POWELL,"Looking ahead, we will continue to take a data-dependent approach in determining the extent of additional policy firming that may be appropriate."
10,CHAIR POWELL,I’ll have more to say about monetary policy after briefly reviewing economic developments.
11,CHAIR POWELL,Recent indicators suggest that economic activity has been expanding at a moderate pace.
12,CHAIR POWELL,Growth in consumer spending appears to have slowed from earlier in the year.
13,CHAIR POWELL,"Although activity in the housing sector has picked up somewhat, it remains well below levels of a year ago, largely reflecting higher mortgage rates."
14,CHAIR POWELL,And higher interest rates and slower output growth also appear to be weighing on business fixed investment.
15,CHAIR POWELL,The labor market remains very tight.
16,CHAIR POWELL,"Over the past three months, job gains averaged 244,000 jobs per month, a pace below that seen earlier in the year but still a strong pace."
17,CHAIR POWELL,The unemployment rate remains low at 3.6 percent.
18,CHAIR POWELL,"There are some continuing signs that supply and July 26, 2023 demand in the labor market are coming into better balance."
19,CHAIR POWELL,"The labor force participation rate has Chair Powell’s Press Conference FINAL moved up since last year, particularly for individuals aged 25 to 54 years."
20,CHAIR POWELL,"Nominal wage growth has shown some signs of easing, and job vacancies have declined so far this year."
21,CHAIR POWELL,"While the jobs-to-workers gap has narrowed, labor demand still substantially exceeds the supply of available workers."
22,CHAIR POWELL,Inflation remains well above our longer-run goal of 2 percent.
23,CHAIR POWELL,"Over the 12 months ending in May, total PCE prices rose 3.8 percent; excluding the volatile food and energy categories, core PCE prices rose 4.6 percent."
24,CHAIR POWELL,"In June, the 12-month change in the consumer price index, or CPI, came in at 3.0 percent, and the change in the core, core CPI, was 4.8 percent."
25,CHAIR POWELL,Inflation has moderated somewhat since the middle of last year.
26,CHAIR POWELL,"Nonetheless, the process of getting inflation back down to 2 percent has a long way to go."
27,CHAIR POWELL,"Despite elevated inflation, longer-term inflation expectations appear to remain well anchored, as reflected in a broad range of surveys of households, businesses, and forecasters, as well as measures from financial markets."
28,CHAIR POWELL,The Fed’s monetary policy actions are guided by our mandate to promote maximum employment and stable prices for the American people.
29,CHAIR POWELL,"My colleagues and I are acutely aware that high inflation imposes significant—significant hardship, as it erodes purchasing power, especially for those least able to meet the higher costs of essentials like food, housing, and transportation."
30,CHAIR POWELL,"We’re highly attentive to the risks that high inflation poses to both sides of our mandate, and we are strongly committed to returning inflation to our 2 percent objective."
31,CHAIR POWELL,"At today’s meeting, the Committee raised the target range for the federal funds rate by ¼ percentage point, bringing the target range to 5¼ to 5½ percent."
32,CHAIR POWELL,We are also continuing the process of significantly reducing our securities holdings.
33,CHAIR POWELL,"With today’s action, we’ve raised our July 26, 2023 policy rate by 5¼ percentage points since early last year."
34,CHAIR POWELL,"We have been seeing the effects of our Chair Powell’s Press Conference FINAL policy tightening on demand in the most interest rate–sensitive sectors of the economy, particularly housing and investment."
35,CHAIR POWELL,"It will take time, however, for the full effects of our ongoing monetary restraint to be realized, especially on inflation."
36,CHAIR POWELL,"In addition, the economy is facing headwinds from tighter credit conditions for households and businesses, which are likely to weigh on economic activity, hiring, and inflation."
37,CHAIR POWELL,"In determining the extent of additional policy firming that may be appropriate to return inflation to 2 percent over time, the Committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments."
38,CHAIR POWELL,"We will continue to make our decisions meeting by meeting, based on the totality of the incoming data and their implications for the outlook for economic activity and inflation, as well as the balance of risks."
39,CHAIR POWELL,We remain committed to bringing inflation back to our 2 percent goal and to keeping longer-term inflation expectations well anchored.
40,CHAIR POWELL,Reducing inflation is likely to require a period of below-trend growth and some softening of labor market conditions.
41,CHAIR POWELL,Restoring price stability is essential to set the stage for achieving maximum employment and stable prices over the longer run.
42,CHAIR POWELL,"To conclude: We understand that our actions affect communities, families, and businesses across the country."
43,CHAIR POWELL,Everything we do is in service to our public mission.
44,CHAIR POWELL,We at the Fed will do everything we can to achieve our maximum-employment and price-stability goals.
45,CHAIR POWELL,"Thank you, and I look forward to your questions."
46,MICHELLE SMITH,Steve.
47,STEVE LIESMAN,"Mr. Chairman, thank you."
48,STEVE LIESMAN,"You have, I think a couple of times in your opening remarks, talked about this language “in determining the extent of additional policy firming that may be appropriate.” Should we take that to mean that additional hikes are likely on the way?"
49,STEVE LIESMAN,"And should we also believe that all future meetings—say, September and November—are live, or are you in an every-other-meeting mode?"
50,STEVE LIESMAN,Thank you.
51,CHAIR POWELL,So we haven’t made a decision to go to every other meeting.
52,CHAIR POWELL,It’s not something we’ve looked at.
53,CHAIR POWELL,"We’re going to be going meeting by meeting, and as we go into each meeting, we’re going to be asking ourselves the same questions."
54,CHAIR POWELL,"So we haven’t made any decisions about, about any future meetings, including the pace at which we’d consider hiking."
55,CHAIR POWELL,"But we’re going to be assessing the need for further tightening that may be appropriate—you read the language—“to return inflation to 2 percent over time.” I would say that the intermeeting data came in broadly in line with expectations: Economic activity remained resilient, job creation remains strong while cooling a bit, and the June CPI report actually came in a bit better than expectations for a change."
56,CHAIR POWELL,"And the June CPI report, of course, was welcomed, but it’s only one report, one month’s data."
57,CHAIR POWELL,"We hope that inflation will follow a lower path, as was—that will be consistent with the CPI reading, but we don’t know that, and we’re just going to need to see more data."
58,CHAIR POWELL,"So, what are we going to be looking at?"
59,CHAIR POWELL,"Really, it will be the broader, the whole broader picture, and starting with—we’re looking for moderate growth, right?"
60,CHAIR POWELL,"We’re looking for supply and demand through the economy coming into better balance, including, in particular, in the labor market."
61,CHAIR POWELL,We’ll be looking at inflation.
62,CHAIR POWELL,"We’ll be asking ourselves, does this whole collection of data, do we assess it as suggesting that we need to raise rates further?"
63,CHAIR POWELL,"And if we make that conclusion, then we will go ahead and raise rates."
64,CHAIR POWELL,"So that’s how we’re thinking about July 26, 2023 the next meeting and, you know, how we’re thinking about meetings going forward potentially, Chair Powell’s Press Conference FINAL but, you know, we’re now mainly thinking about the next meeting."
65,CHAIR POWELL,"I will also say, since we’re talking about it, between now and the September meeting, we get two more job reports, two more CPI reports."
66,CHAIR POWELL,I think we have an ECI report coming later this week—which is [an] employment compensation index—and lots of data on economic activity.
67,CHAIR POWELL,All of that information is going to inform our decision as we go into that meeting.
