,speaker,sentence
0,CHAIR POWELL,Good afternoon.
1,CHAIR POWELL,"Before discussing today’s meeting, let me briefly address recent developments in the banking sector."
2,CHAIR POWELL,"In the past two weeks, serious difficulties at a small number of banks have emerged."
3,CHAIR POWELL,"History has shown that isolated banking problems, if left unaddressed, can undermine confidence in healthy banks and threaten the ability of the banking system as a whole to play its vital role in supporting the savings and credit needs of households and businesses."
4,CHAIR POWELL,"That is why, in response to these events, the Federal Reserve, working with the Treasury Department and the FDIC, took decisive actions to protect the U.S. economy and to strengthen public confidence in our banking system."
5,CHAIR POWELL,These actions demonstrate that all depositors’ savings and the banking system are safe.
6,CHAIR POWELL,"With the support of the Treasury, the Federal Reserve Board created the Bank Term Funding Program to ensure that banks that hold safe and liquid assets can, if needed, borrow reserves against those assets at par."
7,CHAIR POWELL,"This program, along with our long-standing discount window, is effectively meeting the unusual funding needs that some banks have faced and makes clear that ample liquidity in the system is available."
8,CHAIR POWELL,"Our banking system is sound and resilient, with strong capital and liquidity."
9,CHAIR POWELL,We will continue to closely monitor conditions in the banking system and are prepared to use all of our tools as needed to keep it safe and sound.
10,CHAIR POWELL,"In addition, we are committed to learning the lessons from this episode and to work to prevent episodes—events like this from happening again."
11,CHAIR POWELL,"Turning to the broader economy and monetary policy: Inflation remains too high, and the labor market continues to be very tight."
12,CHAIR POWELL,"My colleagues and I understand the hardship that high inflation is causing, and we remain strongly committed to bringing inflation back down to our 2 percent goal."
13,CHAIR POWELL,Price stability is the responsibility of the Federal Reserve.
14,CHAIR POWELL,"Without price March 22, 2023 stability, the economy does not work for anyone."
15,CHAIR POWELL,"In particular, without price stability, we will Chair Powell’s Press Conference FINAL not achieve a sustained period of long—of strong labor market conditions that benefit all."
16,CHAIR POWELL,"The U.S. economy slowed significantly last year, with real GDP rising at a below-trend pace of 0.9 percent."
17,CHAIR POWELL,"Consumer spending appears to have picked up this quarter, although some of that strength may reflect the effects of swings in the weather across the turn of the year."
18,CHAIR POWELL,"In contrast, activity in the housing sector remains weak, largely reflecting higher mortgage rates."
19,CHAIR POWELL,Higher interest rates and slower output growth also appear to be weighing on business fixed investment.
20,CHAIR POWELL,Committee participants generally expect subdued growth to continue.
21,CHAIR POWELL,"As shown in our Summary of Economic Projections, the median projection for real GDP growth stands at just 0.4 percent this year and 1.2 percent next year, well below the median estimate of the longer-run normal growth rate."
22,CHAIR POWELL,And nearly all participants see the risks to GDP growth as weighted to the downside.
23,CHAIR POWELL,Yet the labor market remains extremely tight.
24,CHAIR POWELL,"Job gains have picked up in recent months, with employment rising by an average of 351,000 jobs per month over the last three months."
25,CHAIR POWELL,The unemployment rate remained low in February at 3.6 percent.
26,CHAIR POWELL,"The labor force participation rate has edged up in recent months, and wage growth has shown some signs of easing."
27,CHAIR POWELL,"However, with job vacancies still very high, labor demand substantially exceeds the supply of available workers."
28,CHAIR POWELL,"FOMC participants expect supply and demand conditions in the labor market to come into better balance over time, easing upward pressures on wages and prices."
29,CHAIR POWELL,The median unemployment rate projection in the SEP rises to 4.5 percent at the end of this year and 4.6 percent at the end of next year.
30,CHAIR POWELL,Inflation remains well above our longer-run goal of 2 percent.
31,CHAIR POWELL,"Over the 12 months ending in January, total PCE prices rose 5.4 percent; excluding the volatile food and energy categories."
32,CHAIR POWELL,"Core PCE—excluding those, core PCE prices rose 4.7 percent."
33,CHAIR POWELL,"In February, the 12-month change in the CPI came in at 6 percent, and the change in the core CPI was 5.5 percent."
34,CHAIR POWELL,"Inflation has moderated somewhat since the middle of last year, but the strength of these recent readings indicates that inflation pressures continue to run high."
35,CHAIR POWELL,"The median projection in the SEP for total PCE inflation is 3.3 percent for this year, 2.5 percent next year, and 2.1 percent in 2025."
36,CHAIR POWELL,The process of getting inflation back down to 2 percent has a long way to go and is likely to be bumpy.
37,CHAIR POWELL,"Despite elevated inflation, longer-term inflation expectations appear to remain well anchored, as reflected in a broad range of surveys of households, businesses, and forecasters, as well as measures from financial markets."
38,CHAIR POWELL,The Fed’s monetary policy actions are guided by our mandate to promote maximum employment and stable prices for the American people.
39,CHAIR POWELL,"My colleagues and I are acutely aware that high inflation imposes significant hardship, as it erodes purchasing power, especially for those least able to meet the higher costs of essentials like food, housing, and transportation."
40,CHAIR POWELL,"We are highly attentive to the risks that high inflation poses to both sides of our mandate, and we are strongly committed to returning inflation to our 2 percent objective."
41,CHAIR POWELL,"At today’s meeting, the Committee raised the target range for the federal funds rate by ¼ percentage point, bringing the target range to 4¾ to 5 percent."
42,CHAIR POWELL,And we are continuing the process of significantly reducing our securities holdings.
43,CHAIR POWELL,"Since our previous FOMC meeting, economic indicators have generally come in stronger than expected, demonstrating greater momentum in economic activity and inflation."
44,CHAIR POWELL,"We believe, March 22, 2023 however, that events in the banking system over the past two weeks are likely to result in tighter Chair Powell’s Press Conference FINAL credit conditions for households and businesses, which would in turn affect economic outcomes."
45,CHAIR POWELL,It is too soon to determine the extent of these effects and therefore too soon to tell how monetary policy should respond.
46,CHAIR POWELL,"As a result, we no longer state that we anticipate that ongoing rate increases will be appropriate to quell inflation; instead, we now anticipate that some additional policy firming may be appropriate."
47,CHAIR POWELL,"We will closely monitor incoming data and carefully assess the actual and expected effects of tighter credit conditions on economic activity, the labor market, and inflation, and our policy decisions will reflect that assessment."
48,CHAIR POWELL,"In our SEP, each FOMC participant wrote down an appropriate path for the federal funds rate based on what that participant judges to be the most likely scenario going forward."
49,CHAIR POWELL,"If the economy evolves as projected, the median participant projects that the appropriate level of the federal funds rate will be 5.1 percent at the end of this year, 4.3 percent at the end of 2024, and 3.1 percent at the end of 2025."
50,CHAIR POWELL,"These are little changed from our December projections, reflecting offsetting factors."
51,CHAIR POWELL,"These projections are not a Committee decision or plan; if the economy does not evolve as projected, the path for policy will adjust as appropriate to foster our maximum-employment and price-stability goals."
52,CHAIR POWELL,"We will continue to make our meeting—decisions meeting by meeting, based on the totality of the vincoming data and their implications for the outlook for economic activity and inflation."
53,CHAIR POWELL,We remain committed to bringing inflation back down to our 2 percent goal and to keep longer-term inflation expectations well anchored.
54,CHAIR POWELL,Reducing inflation is likely to require a period of below-trend growth and some softening in labor market conditions.
55,CHAIR POWELL,Restoring price stability is essential to set the stage for achieving maximum employment and stable prices over the longer run.
56,CHAIR POWELL,"To conclude, we understand that our actions affect communities, families, and businesses across the country."
57,CHAIR POWELL,Everything we do is in service to our public mission.
58,CHAIR POWELL,We at the Fed will do everything we can to achieve our maximum-employment and price-stability goals.
59,CHAIR POWELL,Thank you.
60,CHAIR POWELL,I look forward to your questions.
61,MICHELLE SMITH,Colby.
62,COLBY SMITH,Thank you.
63,COLBY SMITH,Colby Smith with the Financial Times.
64,COLBY SMITH,"How confident is the Committee that the recent stress that we’ve seen, and you’ve alluded to, is contained at this point and that deposit flight among midsize lenders in particular has ceased?"
65,CHAIR POWELL,Thanks.
66,CHAIR POWELL,"So I, I guess our view is that the banking system is sound and it’s resilient—it’s got strong capital [and] liquidity."
67,CHAIR POWELL,"We took powerful actions with [the] Treasury and the FDIC, which demonstrate that all depositors’ savings are safe and that the banking system is safe."
68,CHAIR POWELL,Deposit flows in the banking system have stabilized over the last week.
69,CHAIR POWELL,And the last thing I’ll say is that we’ve undertaken—we’re undertaking a thorough internal review that will identify where we can strengthen supervision and regulation.
70,COLBY SMITH,"Okay, just a quick follow-up: I mean, given all the stress and the uncertainty that you’ve also alluded to in the statement, how seriously was a—was a pause considered for this meeting?"
71,CHAIR POWELL,"So we considered—we did consider that in the days running up to the meeting, and you see the decision that we made, which I’ll say a couple things about."
72,CHAIR POWELL,"First, it was supported by a very strong consensus, and I’ll be happy to explain why."
73,CHAIR POWELL,"And, really, it is that the intermeeting data on inflation and the labor market came in stronger than expected and, really, before the recent events, we were clearly on track to continue with ongoing rate hikes."
74,CHAIR POWELL,"In fact, as of a couple of weeks ago, it looked like we’d need to raise rates over the course of the March 22, 2023 year more than we had expected at the time of the SEP in December—at the time of the Chair Powell’s Press Conference FINAL December meeting."
75,CHAIR POWELL,"We are committed to restoring price stability, and all of the evidence says that the public has confidence that we will do so—that we’ll bring inflation down to 2 percent over time."
76,CHAIR POWELL,It is important that we sustain that confidence with our actions as well as our words.
77,CHAIR POWELL,"So we also assess, as I mentioned, that the events of the last two weeks are likely to result in some tightening credit conditions for households and businesses and thereby weigh on demand, on the labor market, and on inflation."
78,CHAIR POWELL,Such a tightening in financial conditions would work in the same direction as rate tightening.
79,CHAIR POWELL,"In principle, as a matter of fact, you can think of it as being the equivalent of a rate hike or perhaps more than that; of course, it’s not possible to make that assessment today with any precision whatsoever."
80,CHAIR POWELL,"So our decision was to move ahead with the 25 basis point hike and to change our guidance, as I mentioned, from ongoing hikes to some, some additional hikes maybe—some policy firming may be appropriate."
81,CHAIR POWELL,"So going forward, as I mentioned, in assessing the need for, for further hikes, we’ll be focused as always on the incoming data and the evolving outlook and, in particular, on our assessment of the actual and expected effects of credit tightening."
82,MICHELLE SMITH,Steve.
83,STEVE LIESMAN,"Mr. Chairman, can you explain the difference between ongoing rate increases and firming?"
84,STEVE LIESMAN,"Does firming imply a rate increase per se, or could policy firm without you increasing rates?"
85,CHAIR POWELL,"No, I think it’s, it’s meant to refer to our policy rate."
86,CHAIR POWELL,"Really, I would focus on, on the words “may” and “some,” as opposed to “ongoing.” Ongoing."
87,CHAIR POWELL,"So we, we clearly were—what we were doing there was taking onboard the—trying to reflect the uncertainty about what will happen."
88,CHAIR POWELL,"I mean, it, it’s possible that this will turn out to have very March 22, 2023 modest effects—that these events will turn out to be very, very modest effects on the economy, Chair Powell’s Press Conference FINAL in which case inflation will continue to be strong—in which case, you know, the path will look—might look different."
89,CHAIR POWELL,"It’s also possible that this potential tightening will contribute significant tightening in credit conditions over time and, in principle, if that—that means that monetary policy may have less work to do."
90,CHAIR POWELL,We simply don’t know.
91,CHAIR POWELL,So.
92,STEVE LIESMAN,Do you have concerns that the recent—that the hike you did today could further exacerbate the problem in the banks?
93,CHAIR POWELL,No.
94,CHAIR POWELL,"I mean, with our monetary policy, we’re, we’re really focused on macroeconomic outcomes."
95,CHAIR POWELL,"In particular, we’re focused on, on this potential credit tightening and what can that produce in the way of tighter credit conditions."
96,CHAIR POWELL,"I think when we think about the situation with the banks, we’re focused on our—on our financial stability tools, in particular our lending facilities, the debt—sorry, the discount window, and also the new facility."
97,MICHELLE SMITH,Nick.
98,NICK TIMIRAOS,"Nick Timiraos, the Wall Street Journal."
99,NICK TIMIRAOS,"Chair Powell, in your testimony two weeks ago, you had indicated you thought the terminal rate would be higher."
100,NICK TIMIRAOS,"Obviously, that was before the stress in the banking sector."
101,NICK TIMIRAOS,"And I realize there’s a lot of uncertainty, but can you—can you explain at all to what extent your forecasts or those of your colleagues or those of the Board staff incorporated today a material tightening of credit availability because of the stress in the banking sector, or are you waiting to see it in the data before you incorporate that potential tightening into your forecasts?"
102,CHAIR POWELL,"So, you know, we have just come from an FOMC meeting and, you know, the people who write the minutes will be very carefully counting, but I’ll tell you what I heard."
103,CHAIR POWELL,"What I heard was significant number of people saying that they anticipated there would March 22, 2023 be some, some tightening of credit conditions and that would really have the same effects as, as Chair Powell’s Press Conference FINAL our policies do, and that therefore they were including that in their assessment and that if that did turn out not to be the case, in principle you would need more rate hikes."
104,CHAIR POWELL,So some people did reflect that in their FOMC—in their SEP forecasts.
105,CHAIR POWELL,"I think there may also just have been—remember, this is 12 days ago."
106,CHAIR POWELL,"You know, we’re trying to assess something that just is so recent and it’s people—you know, it’s very difficult, there’s so much uncertainty."
107,CHAIR POWELL,"So December was a good place to start, and we wound up with—we wound up with very similar outcomes for December."
108,CHAIR POWELL,"And, you know, in a way, the early—the data in the first part—the first five weeks of the intermeeting period pointed to stronger inflation and stronger labor markets."
109,CHAIR POWELL,So that pointed to higher rates.
110,CHAIR POWELL,"And then this, this latter part kind of—the possibility of credit conditions tightening really, really offset that, effectively."
111,NICK TIMIRAOS,"To follow up: Have you considered at all whether your primary tool, the funds rate, is going to be enough to sustain the kind of tighter financial conditions that you believe will be necessary without doing significant damage to the banking sector?"
112,NICK TIMIRAOS,"Have you, for example, considered changing reserve requirements, selling assets out of the System Open Market Account, as a way to better achieve tighter financial conditions that don’t accelerate deposit erosion, for example, from banks?"
113,CHAIR POWELL,"You know, we know that we have other, other tools in effect, but no, we think our monetary policy tool works, and we think, you know, many, many banks—our rate hikes were well telegraphed to the market, and many banks have managed to handle them."
