,speaker,sentence
0,CHAIR POWELL,Good afternoon.
1,CHAIR POWELL,My colleagues and I remain squarely focused on our dual mandate to promote maximum employment and stable prices for the American people.
2,CHAIR POWELL,"We understand the hardship that high inflation is causing, and we remain strongly committed to bringing inflation back down to our 2 percent goal."
3,CHAIR POWELL,Price stability is the responsibility of the Federal Reserve.
4,CHAIR POWELL,"Without price stability, the economy doesn’t work for anyone."
5,CHAIR POWELL,"In particular, without price stability, we will not achieve a sustained period of strong labor market conditions that benefit all."
6,CHAIR POWELL,"Since early last year, the FOMC has significantly tightened the stance of monetary policy."
7,CHAIR POWELL,"We have raised our policy interest rate by 5 percentage points, and we’ve continued to reduce our securities holdings at a brisk pace."
8,CHAIR POWELL,"We’ve covered a lot of ground, and the full effects of our tightening have yet to be felt."
9,CHAIR POWELL,"In light of how far we’ve come in tightening policy, the uncertain lags with which monetary policy affects the economy, and potential headwinds from credit tightening, today we decided to leave our policy interest rate unchanged and to continue to reduce our securities holdings."
10,CHAIR POWELL,"Looking ahead, nearly all Committee participants view it as likely that some further rate increases will be appropriate this year to bring inflation down to 2 percent over time."
11,CHAIR POWELL,And I will have more to say about monetary policy after briefly reviewing economic developments.
12,CHAIR POWELL,"The U.S. economy slowed significantly last year, and recent indicators suggest that economic activity has continued to expand at a modest pace."
13,CHAIR POWELL,"Although growth in consumer spending has picked up this year, activity in the housing sector remains weak, largely reflecting higher mortgage rates."
14,CHAIR POWELL,Higher interest rates and slower output growth also appear to be weighing on business fixed investment.
15,CHAIR POWELL,"Committee participants generally expect subdued June 14, 2023 growth to continue."
16,CHAIR POWELL,"In our Summary of Economic Projections, the median projection has real Chair Powell’s Press Conference FINAL GDP growth at 1.0 percent this year and 1.1 percent next year, well below the median estimate of the longer-run normal growth rate."
17,CHAIR POWELL,The labor market remains very tight.
18,CHAIR POWELL,"Over the past three months, payroll job gains averaged a robust 283,000 jobs per month."
19,CHAIR POWELL,The unemployment rate moved up but remained low in May at 3.7 percent.
20,CHAIR POWELL,There are some signs that supply and demand in the labor market are coming into better balance.
21,CHAIR POWELL,"The labor force participation rate has moved up in recent months, particularly for individuals aged 25 to 54 years."
22,CHAIR POWELL,"Nominal wage growth has shown signs of easing, and job vacancies have declined so far this year."
23,CHAIR POWELL,"While the jobs-to-workers gap has declined, labor demand still substantially exceeds the supply of available workers."
24,CHAIR POWELL,"FOMC participants expect supply and demand conditions in the labor market to come into better balance over time, easing upward pressures on inflation."
25,CHAIR POWELL,The median unemployment rate projection in the SEP rises to 4.1 percent at the end of this year and 4.5 percent at the end of next year.
26,CHAIR POWELL,Inflation remains well above our longer-run 2 percent goal.
27,CHAIR POWELL,"Over the 12 months ending in April, total PCE proces—prices rose 4.4 percent; excluding the volatile food and energy categories, core PCE prices rose 4.7 percent."
28,CHAIR POWELL,"In May, the 12-month change in the consumer price index came in at 4 percent, and the change in the core, core CPI was 5.3 percent."
29,CHAIR POWELL,Inflation has moderated somewhat since the middle of last year.
30,CHAIR POWELL,"Nonetheless, inflation pressures continue to run high, and the process of getting inflation back down to 2 percent has a long way to go."
31,CHAIR POWELL,"The median projection in the SEP for total PCE inflation is 3.2 percent this year, 2.5 percent next year, and 2.1 percent in 2025."
32,CHAIR POWELL,"Core PCE inflation, which excludes volatile food and energy prices, is projected to run higher than total inflation, and the median projection has been revised in the SEP up to 3.9 percent this year."
33,CHAIR POWELL,"Despite elevated inflation, longer-term inflation June 14, 2023 expectations appear to remain well anchored, as reflected in a broad range of surveys of Chair Powell’s Press Conference FINAL households, businesses, and forecasters, as well as measures from financial markets."
34,CHAIR POWELL,The Fed’s monetary policy actions are guided by our mandate to promote maximum employment and price—and stable prices for the American people.
35,CHAIR POWELL,"My colleagues and I are acutely aware that high inflation imposes hardship, as it erodes purchasing power, especially for those least able to meet the higher costs of essentials like food, housing, and transportation."
36,CHAIR POWELL,"We are highly attentive to the risks that high inflation poses to both sides of our mandate, and we’re strongly committed to returning inflation to our 2 percent objective."
37,CHAIR POWELL,"As I noted earlier, since early last year, we’ve raised our policy rate by 5 percentage points."
38,CHAIR POWELL,"We have been seeing the effects of our policy tightening on demand in the most interest rate–sensitive sectors of the economy, especially housing and investment."
39,CHAIR POWELL,"It will take time, however, for the full effects of monetary restraint to be realized, especially on inflation."
40,CHAIR POWELL,"The economy is facing headwinds from tighter credit conditions for households and businesses, which are likely to weigh on economic activity, hiring, and inflation."
41,CHAIR POWELL,The extent of these effects remains uncertain.
42,CHAIR POWELL,"In light of how far we’ve come in tightening policy, the uncertain lags with which monetary policy affects the economy, and potential headwinds from credit tightening, the Committee decided at today’s meeting to maintain the target range for the federal funds rate at 5 to 5¼ percent and to continue the process of significantly reducing our securities holdings."
43,CHAIR POWELL,"As I noted earlier, nearly, nearly all Committee participants expect that it will be appropriate to raise interest rates somewhat further by the end of the year."
44,CHAIR POWELL,"But at this meeting, considering how far and how fast we’ve moved, we judged it prudent to hold the target range steady to allow the Committee to assess additional information and its implications for monetary June 14, 2023 policy."
45,CHAIR POWELL,"In determining the extent of additional policy firming that may be appropriate to return Chair Powell’s Press Conference FINAL inflation to 2 percent over time, the Committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments."
46,CHAIR POWELL,"In our SEP, participants wrote down their individual assessments of an appropriate path for the federal funds rate based on what each participant judges to be the most likely scenario going forward."
47,CHAIR POWELL,"If the economy evolves as projected, the median participant projects that the appropriate level of the federal funds rate will be 5.6 percent at the end of this year, 4.6 percent at the end of 2024, and 3.4 percent at the end of 2025."
48,CHAIR POWELL,"For the end of this year, the median projection is ½ percentage point higher than in our March projections."
49,CHAIR POWELL,"I hasten to add, as always, that these projections are not a Committee decision or plan."
50,CHAIR POWELL,"If the economy does not evolve as projected, the path for policy will adjust as appropriate to foster our maximum-employment and price-stability goals."
51,CHAIR POWELL,"We will continue to make our decisions meeting by meeting, based on the totality of incoming data and their implications for the outlook for economic activity and inflation, as well as the balance of risks."
52,CHAIR POWELL,We remain committed to bringing inflation—bringing inflation back down to our 2 percent goal and to keeping longer-term inflation expectations well anchored.
53,CHAIR POWELL,Reducing inflation is likely to require a period of below-trend growth and some softening of labor market conditions.
54,CHAIR POWELL,Restoring price stability is essential to set the stage for achieving maximum employment and stable prices over the longer run.
55,CHAIR POWELL,"To conclude: We understand that our actions affect communities, families, and businesses across the country."
56,CHAIR POWELL,Everything we do at the Fed is in service to our public mission.
57,CHAIR POWELL,"June 14, 2023 We will do everything we can to achieve our maximum-employment and price-stability goals."
58,CHAIR POWELL,Chair Powell’s Press Conference FINAL Thank you.
59,CHAIR POWELL,And I look forward to your questions.
60,MICHELLE SMITH,Colby.
61,COLBY SMITH,Thank you.
62,COLBY SMITH,Colby Smith with the Financial Times.
63,COLBY SMITH,I’m curious what gives you and the Committee the confidence that waiting will not be counterproductive at a time when the monthly pace of core inflation is still so elevated.
