,speaker,sentence
0,CHAIR POWELL,"Good afternoon, everyone, and welcome."
1,CHAIR POWELL,My colleagues and I remain squarely focused on our dual mandate to promote maximum employment and stable prices for the American people.
2,CHAIR POWELL,"We understand the hardship that high inflation is causing, and we remain strongly committed to bringing inflation back down to our 2 percent goal."
3,CHAIR POWELL,Price stability is the responsibility of the Federal Reserve.
4,CHAIR POWELL,"Without price stability, the economy does not work for anyone."
5,CHAIR POWELL,"In particular, without price stability, we will not achieve a sustained period of strong labor market conditions that benefit all."
6,CHAIR POWELL,"Since early last year, the FOMC has significantly tightened the stance of monetary policy."
7,CHAIR POWELL,We have raised our policy interest rate by 5-1/4 percentage points and have continued to reduce our securities holdings at a brisk pace.
8,CHAIR POWELL,"The stance of policy is restrictive, meaning that tight policy is putting downward pressure on economic activity and inflation, and the full effects of our tightening have yet to be felt."
9,CHAIR POWELL,"Today, we decided to leave our policy interest rate unchanged and to continue to reduce our securities holdings."
10,CHAIR POWELL,"Given how far we have come, along with the uncertainties and risks we face, the Committee is proceeding carefully."
11,CHAIR POWELL,"We will make decisions about the extent of additional policy firming and how long policy will remain restrictive based on the totality of the incoming data, the evolving outlook, and the balance of risks."
12,CHAIR POWELL,I will have more to say about monetary policy after briefly reviewing economic developments.
13,CHAIR POWELL,"Recent indicators suggest that economic activity has been expanding at a strong pace, and well above earlier expectations."
14,CHAIR POWELL,"In the third quarter, real GDP is estimated to have risen at an outsized annual rate of 4.9 percent, boosted by a surge in consumer spending."
15,CHAIR POWELL,"After picking up somewhat over the summer, activity in the housing sector has flattened out and remains well below levels of a year ago, largely reflecting higher mortgage rates."
16,CHAIR POWELL,Higher interest rates also appear to be weighing on business fixed investment.
17,CHAIR POWELL,"The labor market remains tight, but supply and demand conditions continue to come into better balance."
18,CHAIR POWELL,"Over the past three months, payroll job gains averaged 266 thousand jobs per month, a strong pace that is nevertheless below that seen earlier in the year."
19,CHAIR POWELL,"The unemployment rate remains low, at 3.8 percent."
